 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
667,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
668,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
669,27,255,22.3848,0.6771,1.0602,0.9432,0.7826
670,9,255,15.3137,0.4823,2.1746,0.4599,0.6000
671,8,255,10.4853,0.9144,1.7905,0.5585,0.8000
672,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
673,8,255,9.8995,1.0000,1.1952,0.8367,0.8000
674,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
675,3,255,6.8284,0.8085,3.0000,0.3333,1.0000
676,28,255,18.4853,1.0000,1.1861,0.8431,0.9655
677,23,255,18.4853,0.8458,1.8214,0.5490,0.8846
678,18,255,15.8995,0.8948,1.2271,0.8149,0.8372
679,9,255,9.6569,1.0000,1.0000,1.0000,1.0000
680,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
681,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
682,19,255,15.3137,1.0000,1.4914,0.6705,0.8837
683,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
684,19,255,22.1421,0.4870,3.7765,0.2648,0.6441
685,26,255,20.7279,0.7605,1.3269,0.7536,0.8125
686,35,255,21.5563,0.9465,1.0804,0.9256,0.8861
687,46,255,38.8701,0.3826,1.2366,0.8086,0.5714
688,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
689,9861,255,516.6589,0.4642,3.9788,0.2513,0.9176
690,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
691,15,255,18.7279,0.5374,2.3387,0.4276,0.6818
692,10,255,13.8995,0.6504,2.2218,0.4501,0.7143
693,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
694,17,255,15.3137,0.9110,1.6893,0.5920,0.8718
695,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
696,3,255,7.6569,0.6430,2.7020,0.3701,0.6667
697,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
698,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
699,22,255,24.3848,0.4649,1.7187,0.5818,0.6567
700,5,255,8.4853,0.8727,1.0000,1.0000,0.7143
701,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
702,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
703,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
704,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
705,30,255,27.7990,0.4878,2.6955,0.3710,0.7595
706,5,255,8.4853,0.8727,1.4961,0.6684,0.7143
707,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
708,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
709,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
710,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
711,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
712,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
713,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
714,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
715,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
716,17,255,14.7279,0.9849,1.6135,0.6198,0.8500
717,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
718,57,255,56.4264,0.2250,4.6344,0.2158,0.4810
719,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
720,5,255,10.4853,0.5715,1.1407,0.8767,0.6667
721,7,255,12.4853,0.5643,2.5690,0.3893,0.6364
722,24,255,25.2132,0.4744,1.2569,0.7956,0.6486
723,12,255,14.7279,0.6952,2.1445,0.4663,0.7273
724,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
725,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
726,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
727,20,255,18.9706,0.6984,1.8967,0.5272,0.8163
728,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
729,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
730,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
731,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
732,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
733,45,255,41.6985,0.3252,4.6337,0.2158,0.6429
