 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1616,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1617,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1618,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1619,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1620,65,255,28.9706,0.9732,1.0615,0.9421,0.9091
1621,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1622,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1623,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1624,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1625,21,255,15.3137,1.0000,1.0000,1.0000,0.9130
1626,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1627,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1628,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1629,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1630,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1631,13,255,12.4853,1.0000,1.1481,0.8710,0.8966
1632,20,255,15.3137,1.0000,1.0829,0.9235,0.8889
1633,25,255,17.3137,1.0000,1.1468,0.8720,0.9091
1634,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1635,8,255,9.8995,1.0000,1.6053,0.6229,0.8000
1636,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1637,24,255,17.3137,1.0000,1.0762,0.9292,0.8889
1638,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1639,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1640,11,255,11.8995,0.9762,1.0351,0.9661,0.8462
1641,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
1642,7,255,9.0711,1.0000,1.3797,0.7248,0.8750
1643,24,255,17.0711,1.0000,1.0913,0.9164,0.9796
1644,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1645,12,255,11.8995,1.0000,1.1349,0.8811,0.8571
1646,9,255,9.6569,1.0000,1.0000,1.0000,1.0000
1647,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1648,12,255,11.8995,1.0000,1.6514,0.6055,0.8889
1649,113,255,50.1838,0.5638,2.7240,0.3671,0.7508
1650,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1651,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1652,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1653,13,255,13.8995,0.8456,1.3720,0.7289,0.8125
1654,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
1655,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1656,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1657,33,255,22.1421,0.8458,1.1569,0.8644,0.8684
1658,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
1659,88,255,45.6985,0.5295,1.2154,0.8228,0.8037
1660,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
1661,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1662,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1663,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1664,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1665,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1666,11,255,11.0711,1.0000,1.3721,0.7288,0.9565
1667,16,255,13.3137,1.0000,1.2089,0.8272,0.8889
1668,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1669,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1670,24,255,17.3137,1.0000,1.0762,0.9292,0.8889
1671,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1672,16,255,14.1421,1.0000,1.0765,0.9289,0.8205
1673,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1674,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1675,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1676,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1677,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1678,23,255,16.4853,1.0000,1.0080,0.9920,0.9583
1679,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1680,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1681,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1682,16,255,13.6569,1.0000,1.0000,1.0000,1.0000
1683,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1684,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1685,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1686,11,255,11.0711,1.0000,1.3721,0.7288,0.9565
1687,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1688,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1689,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1690,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1691,28,255,18.1421,1.0000,1.0180,0.9824,0.9032
1692,16,255,13.8995,1.0000,1.2344,0.8101,0.8889
1693,28,255,18.1421,1.0000,1.0180,0.9824,0.9032
1694,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1695,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1696,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1697,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1698,196,255,78.5685,0.3990,1.3624,0.7340,0.6841
1699,47,255,27.2132,0.7975,1.2957,0.7718,0.8034
1700,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
1701,26,255,17.3137,1.0000,1.1835,0.8449,0.9286
1702,32,255,21.3137,0.8852,1.1456,0.8729,0.8649
1703,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1704,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1705,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1706,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1707,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1708,17,255,13.8995,1.0000,1.2632,0.7917,0.9189
1709,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1710,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1711,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1712,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1713,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1714,14,255,12.4853,1.0000,1.3190,0.7582,0.9333
1715,7,255,9.8995,0.8976,1.6678,0.5996,0.7778
1716,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1717,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1718,16,255,15.8995,0.7954,1.3169,0.7594,0.8000
1719,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1720,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1721,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1722,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
1723,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1724,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1725,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1726,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1727,5,255,9.0711,0.7636,1.6529,0.6050,0.8333
1728,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1729,14,255,12.4853,1.0000,1.0199,0.9805,0.9333
