Image,Aire (px²),Aire (mm²),Diamètre (px),Diamètre (mm),Temps (sec)
00000.jpg,751.0,2.466370486519448,30.922530590107066,1.7724319096487788,0.04
00001.jpg,751.0,2.466370486519448,30.922530590107066,1.7724319096487788,0.08
00002.jpg,740.5,2.431887277320441,30.705600187529114,1.7599977925062082,0.12
00003.jpg,726.5,2.3859096650550984,30.413952871175685,1.7432810167442132,0.16
00004.jpg,747.5,2.454876083453112,30.85038994388133,1.7682969187242623,0.2
00005.jpg,737.5,2.4220349318350105,30.643338007504706,1.7564290200760868,0.24000000000000002
00006.jpg,734.0,2.4105405287686748,30.570538527078803,1.7522562657881826,0.28
00007.jpg,739.5,2.428603162158631,30.684860164772672,1.7588090062898525,0.32
00008.jpg,738.5,2.4253190469968207,30.66410611426522,1.7576194160243765,0.36
00009.jpg,735.5,2.4154667015113898,30.601759510732585,1.7540458045685658,0.39999999999999997
00010.jpg,721.5,2.3694890892460476,30.309113011211988,1.7372717571636853,0.43999999999999995
00011.jpg,745.5,2.4483078531294917,30.809090875909725,1.7659297196459618,0.4799999999999999
00012.jpg,729.5,2.395762010540529,30.4766836759563,1.7468766500248438,0.5199999999999999
00013.jpg,746.5,2.451591968291302,30.82974732534795,1.7671137155682122,0.5599999999999999
00014.jpg,747.0,2.453234025872207,30.8400703617415,1.7677054161424934,0.6
00015.jpg,720.5,2.366204974084237,30.288101491867806,1.7360674091803499,0.64
00016.jpg,726.0,2.384267607474193,30.403485153477522,1.742681023260001,0.68
00017.jpg,738.0,2.4236769894159154,30.653723819701746,1.7570243188629056,0.7200000000000001
00018.jpg,746.0,2.449949910710397,30.81942083122964,1.7665218168024641,0.7600000000000001
00019.jpg,743.0,2.4400975652249666,30.757389059187485,1.7629662510036304,0.8000000000000002
00020.jpg,729.5,2.395762010540529,30.4766836759563,1.7468766500248438,0.8400000000000002
00021.jpg,724.5,2.379341434731478,30.372060354224,1.7408798020828096,0.8800000000000002
00022.jpg,730.5,2.399046125702339,30.497565270510307,1.7480735509189678,0.9200000000000003
00023.jpg,729.0,2.394119952959624,30.46623751157884,1.7462778919438358,0.9600000000000003
00024.jpg,749.0,2.4598022561958275,30.881327999401787,1.7700702404990492,1.0000000000000002
